Greek Yogurt with Fruit and Granola;300;10;40;6;Water;Filler.png;d
Protein Drink;250;30;20;5;Water;Filler.png;md
Grilled Chicken Salad;350;25;15;5;Water;Filler.png;c
Beef Stir-Fry with Broccoli;400;30;20;8;Water;Filler.png;b
Vegetable Curry with Chickpeas;300;10;40;12;Water;Filler.png;a
Chicken Alfredo Pasta;500;35;45;3;Water;Filler.png;c
Lentil Soup with Spinach;250;15;30;10;Water;Filler.png;a
Beef and Bean Burrito;450;25;50;6;Water;Filler.png;b
Grilled Chicken Sandwich with Avocado;400;30;35;7;Water;Filler.png;c
Quinoa Salad with Roasted Veggies;320;12;45;8;Water;Filler.png;a
Beef and Broccoli Bowl;380;28;30;6;Water;Filler.png;b
Vegetable Stir-Fry with Tofu;280;20;25;5;Water;Filler.png;a
Chicken Caesar Wrap;380;30;30;4;Water;Filler.png;c
Bean and Cheese Enchiladas;350;15;40;9;Water;Filler.png;a
Beef Chili with Beans;420;30;35;7;Water;Filler.png;b
Stuffed Bell Peppers with Quinoa;300;15;35;7;Water;Filler.png;a
Chicken and Vegetable Skewers;320;25;20;6;Water;Filler.png;c
Mushroom and Spinach Risotto;380;10;50;5;Water;Filler.png;a
Beef and Vegetable Stir-Fry;400;30;25;6;Water;Filler.png;b
Lentil and Vegetable Stew;280;18;35;10;Water;Filler.png;a
Chicken Fajitas with Peppers and Onions;350;28;30;5;Water;Filler.png;c
Veggie Burger with Sweet Potato Fries;420;15;50;7;Water;Filler.png;a
Beef and Mushroom Skillet;380;25;30;5;Water;Filler.png;b
Spinach and Ricotta Stuffed Shells;360;20;40;8;Water;Filler.png;a
Chicken and Rice Casserole;400;30;35;4;Water;Filler.png;c
Eggplant Parmesan with Pasta;350;12;40;6;Water;Filler.png;a
Beef Kebabs with Grilled Vegetables;420;28;25;6;Water;Filler.png;b
Veggie Pad Thai with Tofu;350;15;45;5;Water;Filler.png;a
Chicken and Vegetable Stir-Fry;320;25;20;6;Water;Filler.png;c
Lentil Tacos with Avocado;300;15;35;8;Water;Filler.png;a
Beef and Black Bean Chili;400;30;35;7;Water;Filler.png;b
Quinoa Stuffed Peppers;320;15;40;8;Water;Filler.png;a
Chicken Parmesan with Spaghetti;450;35;40;4;Water;Filler.png;c
Vegetable Paella with Chickpeas;380;12;55;7;Water;Filler.png;a
Beef and Vegetable Curry;420;25;35;6;Water;Filler.png;b
Spinach and Mushroom Quesadillas;350;18;30;6;Water;Filler.png;a
Grilled Chicken Tacos with Salsa;350;28;25;5;Water;Filler.png;c
Zucchini Noodles with Pesto;300;10;35;6;Water;Filler.png;a
Beef and Broccoli Stir-Fry;380;28;30;6;Water;Filler.png;b
Chickpea and Spinach Salad;320;15;40;8;Water;Filler.png;a
Chicken and Vegetable Soup;300;20;25;4;Water;Filler.png;c
Ratatouille with Quinoa;350;10;45;9;Water;Filler.png;a
Beef and Potato Skillet;400;25;35;5;Water;Filler.png;b
Caprese Salad with Grilled Chicken;350;30;10;3;Water;Filler.png;c
Veggie Stir-Fry with Cashews;320;10;40;7;Water;Filler.png;a
Beef and Cabbage Soup;350;25;30;5;Water;Filler.png;b
Spinach and Feta Stuffed Chicken Breast;380;35;15;3;Water;Filler.png;c
Lentil and Mushroom Burger;320;18;30;6;Water;Filler.png;a
Beef and Pepper Skewers;380;28;25;6;Water;Filler.png;b
Grilled Veggie Wrap with Hummus;300;10;35;7;Water;Filler.png;a
Chicken and Vegetable Casserole;400;30;35;4;Water;Filler.png;c
Portobello Mushroom Burgers;350;12;40;7;Water;Filler.png;a
